ticket_id,date_submitted,channel,category,text,word_count,sentiment_label,intent_label,resolution_status,response_time_hours,csat_score,agent_id
TKT-01112,2024-09-10,chat,shipping,i have a negative experience regarding shipping. this is a inquiry.,11,negative,inquiry,escalated,54.6,1.0,agt-012
TKT-00678,2024-09-09,social_media,technical support,what are the rate limits for the rest api?,9,,,unresolved,22.2,2.0,agt-023
TKT-00694,2024-07-03,chat,technical support,i have a positive experience regarding technical support. this is a inquiry.,12,positive,inquiry,escalated,33.0,1.0,agt-006
TKT-00758,2024-10-21,social_media,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,resolved,67.6,3.0,agt-018
TKT-00255,2024-03-02,email,technical support,i have a negative experience regarding technical support. this is a inquiry.,12,negative,inquiry,pending,71.2,,agt-005
TKT-01095,2024-04-01,phone_transcript,returns,i have a negative experience regarding returns. this is a escalation request.,12,negative,escalation_request,resolved,70.6,2.0,agt-010
TKT-00917,2024-06-11,chat,returns,i have a positive experience regarding returns. this is a inquiry.,11,positive,inquiry,resolved,37.5,3.0,agt-033
TKT-01186,2024-05-21,phone_transcript,returns,do i need the original packaging to return an item?,10,neutral,inquiry,escalated,65.2,3.0,agt-023
TKT-00669,2024-11-11,social_media,returns,do i need the original packaging to return an item?,10,neutral,inquiry,resolved,26.3,3.0,agt-006
TKT-00842,2024-02-13,social_media,technical support,i have a neutral experience regarding technical support. this is a complaint.,12,neutral,complaint,resolved,38.3,4.0,agt-001
TKT-00807,2024-08-04,chat,account,i have a negative experience regarding account. this is a complaint.,11,negative,complaint,escalated,23.4,2.0,agt-034
TKT-01457,2024-05-21,chat,technical support,i have a negative experience regarding technical support. this is a inquiry.,12,negative,inquiry,escalated,24.2,5.0,agt-004
TKT-00087,2024-05-10,chat,technical support,what are the rate limits for the rest api?,9,neutral,inquiry,resolved,33.4,3.0,agt-044
TKT-01422,2024-01-11,phone_transcript,shipping,my order says delivered but i never received anything. this is theft.,12,negative,complaint,escalated,5.0,5.0,agt-016
TKT-00266,2024-03-05,phone_transcript,returns,i have a negative experience regarding returns. this is a inquiry.,11,negative,inquiry,resolved,54.1,4.0,agt-002
TKT-00288,2024-04-06,chat,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,pending,60.3,,agt-035
TKT-01484,2024-10-08,social_media,technical support,i have a negative experience regarding technical support. this is a inquiry.,12,negative,inquiry,resolved,58.0,4.0,agt-035
TKT-00893,2024-03-08,phone_transcript,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,resolved,24.7,2.0,agt-046
TKT-01496,2024-02-10,email,technical support,i have a neutral experience regarding technical support. this is a cancellation.,12,neutral,cancellation,resolved,33.7,1.0,agt-044
TKT-00979,2024-09-12,email,billing,my invoice shows charges i never authorized. i've been a customer for 3 years and this has never happened before.,20,negative,complaint,pending,67.3,,agt-007
TKT-00535,2024-09-29,email,returns,i have a neutral experience regarding returns. this is a complaint.,11,neutral,complaint,resolved,46.1,5.0,agt-018
TKT-01001,2024-06-21,email,billing,i was charged twice for my subscription this month and i need a refund immediately. this is completely unacceptable.,19,negative,complaint,unresolved,66.5,5.0,agt-022
TKT-00222,2024-03-27,chat,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,pending,49.5,,agt-018
TKT-00114,2024-03-20,email,shipping,i have a negative experience regarding shipping. this is a inquiry.,11,negative,inquiry,escalated,11.8,3.0,agt-043
TKT-00673,2024-07-23,phone_transcript,returns,i have a negative experience regarding returns. this is a escalation request.,12,negative,escalation_request,resolved,35.3,3.0,agt-032
TKT-00584,2024-06-16,social_media,billing,i have a neutral experience regarding billing. this is a escalation request.,12,neutral,escalation_request,resolved,4.4,3.0,agt-050
TKT-00175,2024-12-14,phone_transcript,technical support,is there documentation on how to use the bulk upload feature?,11,neutral,inquiry,pending,46.5,,agt-016
TKT-00536,2024-07-19,phone_transcript,shipping,i have a neutral experience regarding shipping. this is a escalation request.,12,neutral,escalation_request,pending,33.5,,agt-044
TKT-01079,2024-04-17,email,account,i have a negative experience regarding account. this is a feedback.,11,negative,feedback,pending,19.0,,agt-008
TKT-01177,2024-02-21,chat,shipping,i have a negative experience regarding shipping. this is a feedback.,11,negative,feedback,resolved,49.1,3.0,agt-049
TKT-01107,2024-12-04,phone_transcript,account,i have a negative experience regarding account. this is a feedback.,11,negative,feedback,resolved,61.4,5.0,agt-023
TKT-00983,2024-07-27,email,billing,i have a neutral experience regarding billing. this is a escalation request.,12,neutral,escalation_request,resolved,41.1,4.0,agt-047
TKT-00286,2024-04-29,phone_transcript,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,escalated,70.1,1.0,agt-048
TKT-00868,2024-07-12,email,returns,i have a positive experience regarding returns. this is a inquiry.,11,positive,,pending,28.0,,agt-042
TKT-00375,2024-01-06,phone_transcript,technical support,what browsers are officially supported?,5,neutral,,unresolved,40.1,3.0,agt-026
TKT-01197,2024-07-22,phone_transcript,returns,your return portal keeps giving me an error when i try to print the label.,15,negative,complaint,pending,10.0,,agt-040
TKT-00032,2024-07-29,phone_transcript,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,escalated,57.9,4.0,agt-045
TKT-00552,2024-10-31,email,account,i have a positive experience regarding account. this is a inquiry.,11,positive,inquiry,resolved,57.6,2.0,agt-048
TKT-00211,2024-04-01,social_media,shipping,the package arrived damaged. everything inside was broken.,8,negative,complaint,escalated,8.2,1.0,agt-017
TKT-01047,2024-07-09,social_media,account,i have a negative experience regarding account. this is a inquiry.,11,negative,inquiry,escalated,55.0,3.0,agt-002
TKT-00924,2024-06-24,email,shipping,i have a positive experience regarding shipping. this is a complaint.,11,positive,complaint,resolved,71.6,4.0,agt-011
TKT-00810,2024-04-20,social_media,billing,i have a neutral experience regarding billing. this is a escalation request.,12,neutral,escalation_request,pending,35.9,,agt-022
TKT-00618,2024-11-27,chat,shipping,i have a neutral experience regarding shipping. this is a complaint.,11,neutral,complaint,resolved,22.8,1.0,agt-008
TKT-00933,2024-06-12,social_media,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,resolved,14.7,1.0,agt-018
TKT-00620,2024-02-20,social_media,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,resolved,58.3,1.0,agt-033
TKT-00189,2024-07-04,social_media,account,i have a negative experience regarding account. this is a complaint.,11,negative,complaint,pending,6.1,,agt-036
TKT-00711,2024-10-11,social_media,account,i have a negative experience regarding account. this is a feedback.,11,negative,feedback,unresolved,32.8,1.0,agt-019
TKT-00937,2024-01-25,email,billing,i have a negative experience regarding billing. this is a cancellation.,11,negative,cancellation,resolved,59.5,1.0,agt-047
TKT-01169,2024-04-04,chat,returns,what's the return process for international orders?,7,neutral,inquiry,resolved,52.7,2.0,agt-034
TKT-01220,2024-10-02,chat,billing,i have a positive experience regarding billing. this is a complaint.,11,positive,complaint,resolved,4.2,5.0,agt-034
TKT-01098,2024-11-01,phone_transcript,shipping,i have a neutral experience regarding shipping. this is a inquiry.,11,neutral,inquiry,pending,8.5,,agt-026
TKT-00902,2024-07-04,social_media,technical support,i have a neutral experience regarding technical support. this is a complaint.,12,neutral,complaint,resolved,57.0,5.0,agt-002
TKT-00084,2024-01-19,social_media,returns,i have a negative experience regarding returns. this is a inquiry.,11,negative,inquiry,escalated,44.6,1.0,agt-015
TKT-00702,2024-07-21,social_media,shipping,i have a positive experience regarding shipping. this is a inquiry.,11,positive,inquiry,resolved,24.7,1.0,agt-018
TKT-00049,2024-12-05,social_media,technical support,i have a negative experience regarding technical support. this is a inquiry.,12,negative,inquiry,pending,2.4,,agt-030
TKT-01284,2024-07-03,chat,billing,i have a negative experience regarding billing. this is a cancellation.,11,negative,cancellation,resolved,70.0,2.0,agt-032
TKT-00156,2024-06-11,email,returns,i have a negative experience regarding returns. this is a escalation request.,12,negative,escalation_request,resolved,46.4,2.0,agt-050
TKT-01152,2024-12-16,chat,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,escalated,31.3,1.0,agt-048
TKT-01142,2024-04-13,email,technical support,i have a negative experience regarding technical support. this is a feedback.,12,negative,feedback,escalated,15.4,3.0,agt-021
TKT-00975,2024-06-30,social_media,billing,i have a negative experience regarding billing. this is a escalation request.,12,negative,escalation_request,resolved,69.3,2.0,agt-011
TKT-01058,2024-08-06,phone_transcript,shipping,i have a negative experience regarding shipping. this is a cancellation.,11,negative,cancellation,resolved,42.3,2.0,agt-017
TKT-00808,2024-08-23,email,account,i have a negative experience regarding account. this is a complaint.,11,negative,complaint,pending,23.1,,agt-015
TKT-01230,2024-06-28,phone_transcript,account,i have a positive experience regarding account. this is a complaint.,11,positive,complaint,unresolved,33.5,5.0,agt-019
TKT-01481,2024-11-23,social_media,returns,i was told returns are free but now you're trying to charge me a restocking fee.,16,negative,complaint,resolved,8.9,4.0,agt-012
TKT-01437,2024-10-24,social_media,returns,i have a neutral experience regarding returns. this is a feedback.,11,neutral,feedback,unresolved,8.7,3.0,agt-045
TKT-00180,2024-04-12,social_media,returns,i have a negative experience regarding returns. this is a escalation request.,12,negative,escalation_request,resolved,54.5,1.0,agt-050
TKT-01356,2024-07-25,social_media,shipping,i have a neutral experience regarding shipping. this is a feedback.,11,neutral,feedback,pending,64.0,,agt-034
TKT-01247,2024-05-23,social_media,returns,i have a positive experience regarding returns. this is a inquiry.,11,positive,inquiry,pending,49.8,,agt-043
TKT-01041,2024-04-11,chat,account,i have a positive experience regarding account. this is a complaint.,11,positive,complaint,resolved,70.9,5.0,agt-019
TKT-00950,2024-05-27,chat,shipping,i have a neutral experience regarding shipping. this is a complaint.,11,,complaint,resolved,51.0,1.0,agt-045
TKT-00817,2024-07-11,chat,returns,i have a neutral experience regarding returns. this is a feedback.,11,neutral,feedback,pending,56.0,,agt-006
TKT-00364,2024-05-10,chat,billing,i'd like to understand the breakdown of charges on my last invoice.,12,neutral,inquiry,resolved,0.9,2.0,agt-039
TKT-01178,2024-05-22,social_media,technical support,i have a negative experience regarding technical support. this is a cancellation.,12,negative,cancellation,escalated,4.0,5.0,agt-034
TKT-01199,2024-05-31,chat,technical support,i have a neutral experience regarding technical support. this is a complaint.,12,neutral,complaint,resolved,17.9,1.0,agt-027
TKT-00347,2024-10-20,social_media,returns,i have a neutral experience regarding returns. this is a complaint.,11,neutral,complaint,resolved,32.5,4.0,agt-032
TKT-01011,2024-07-10,social_media,shipping,i have a negative experience regarding shipping. this is a inquiry.,11,negative,inquiry,escalated,34.2,5.0,agt-003
TKT-00615,2024-02-26,social_media,returns,i have a neutral experience regarding returns. this is a complaint.,11,neutral,complaint,resolved,41.2,2.0,agt-031
TKT-00966,2024-10-24,phone_transcript,returns,i have a positive experience regarding returns. this is a complaint.,11,positive,complaint,escalated,37.1,1.0,agt-019
TKT-01274,2024-05-07,chat,account,i have a neutral experience regarding account. this is a complaint.,11,,complaint,escalated,35.4,2.0,agt-007
TKT-00590,2024-06-04,phone_transcript,shipping,the item i received is completely different from what i ordered. this is frustrating.,14,negative,complaint,escalated,35.8,3.0,agt-017
TKT-01289,2024-07-10,phone_transcript,technical support,i have a positive experience regarding technical support. this is a complaint.,12,positive,complaint,resolved,37.0,2.0,agt-022
TKT-00632,2024-06-09,chat,account,i have a neutral experience regarding account. this is a escalation request.,12,neutral,escalation_request,pending,24.0,,agt-048
TKT-00244,2024-02-22,chat,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,unresolved,53.1,3.0,agt-003
TKT-01375,2024-11-08,chat,account,i have a neutral experience regarding account. this is a inquiry.,11,neutral,inquiry,resolved,58.0,2.0,agt-006
TKT-01452,2024-12-10,phone_transcript,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,resolved,5.2,3.0,agt-011
TKT-00765,2024-08-25,chat,returns,i have a positive experience regarding returns. this is a complaint.,11,positive,complaint,resolved,35.2,1.0,agt-029
TKT-00988,2024-01-31,chat,billing,i have a positive experience regarding billing. this is a inquiry.,11,positive,inquiry,resolved,10.5,4.0,agt-043
TKT-00412,2024-12-15,phone_transcript,shipping,i have a neutral experience regarding shipping. this is a escalation request.,12,neutral,escalation_request,resolved,67.0,1.0,agt-016
TKT-01421,2024-10-09,social_media,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,resolved,36.9,5.0,agt-034
TKT-01226,2024-10-01,social_media,billing,i have a positive experience regarding billing. this is a cancellation.,11,positive,cancellation,resolved,23.9,5.0,agt-045
TKT-00309,2024-05-21,social_media,shipping,i have a neutral experience regarding shipping. this is a inquiry.,11,neutral,inquiry,resolved,29.3,3.0,agt-026
TKT-00882,2024-10-31,email,billing,i have a negative experience regarding billing. this is a feedback.,11,negative,feedback,resolved,62.7,1.0,agt-005
TKT-00399,2024-10-01,phone_transcript,returns,i have a neutral experience regarding returns. this is a complaint.,11,neutral,complaint,resolved,30.8,2.0,agt-049
TKT-00371,2024-06-18,chat,returns,i have a negative experience regarding returns. this is a cancellation.,11,negative,cancellation,resolved,3.2,1.0,agt-005
TKT-00055,2024-08-07,email,account,i have a negative experience regarding account. this is a inquiry.,11,negative,,resolved,47.8,1.0,agt-027
TKT-01339,2024-02-05,email,technical support,i have a positive experience regarding technical support. this is a inquiry.,12,positive,inquiry,resolved,20.3,4.0,agt-048
TKT-01183,2024-08-12,social_media,account,i have a positive experience regarding account. this is a inquiry.,11,positive,inquiry,resolved,21.9,1.0,agt-005
TKT-00313,2024-04-12,email,returns,i have a positive experience regarding returns. this is a escalation request.,12,positive,escalation_request,resolved,60.3,2.0,agt-046
TKT-00922,2024-09-10,chat,billing,i have a positive experience regarding billing. this is a complaint.,11,positive,complaint,resolved,60.9,5.0,agt-002
TKT-00110,2024-09-16,phone_transcript,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,resolved,15.7,3.0,agt-036
TKT-00719,2024-01-19,social_media,shipping,the item i received is completely different from what i ordered. this is frustrating.,14,negative,complaint,unresolved,20.6,5.0,agt-041
TKT-00692,2024-10-20,email,billing,i have a positive experience regarding billing. this is a feedback.,11,positive,feedback,resolved,53.2,4.0,agt-038
TKT-00101,2024-04-29,chat,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,pending,24.0,,agt-001
TKT-01126,2024-03-28,social_media,shipping,i have a negative experience regarding shipping. this is a feedback.,11,negative,feedback,resolved,70.0,3.0,agt-034
TKT-00670,2024-04-06,email,technical support,i have a positive experience regarding technical support. this is a complaint.,12,positive,complaint,pending,61.9,,agt-042
TKT-01376,2024-08-07,email,billing,i have a positive experience regarding billing. this is a feedback.,11,positive,feedback,resolved,35.7,1.0,agt-042
TKT-00267,2024-10-22,email,shipping,the package arrived damaged. everything inside was broken.,8,negative,complaint,resolved,45.4,2.0,agt-011
TKT-00679,2024-06-21,email,technical support,i have a positive experience regarding technical support. this is a escalation request.,13,positive,escalation_request,escalated,31.3,4.0,agt-017
TKT-00297,2024-06-12,email,technical support,i have a positive experience regarding technical support. this is a complaint.,12,positive,complaint,resolved,19.2,1.0,agt-011
TKT-00530,2024-05-22,chat,account,i have a positive experience regarding account. this is a inquiry.,11,positive,inquiry,pending,18.5,,agt-017
TKT-00945,2024-02-24,email,shipping,i have a negative experience regarding shipping. this is a inquiry.,11,negative,inquiry,resolved,53.8,1.0,agt-002
TKT-01014,2024-03-03,social_media,technical support,i have a negative experience regarding technical support. this is a cancellation.,12,negative,cancellation,pending,61.1,,agt-031
TKT-00951,2024-12-14,chat,account,i have a neutral experience regarding account. this is a complaint.,11,neutral,complaint,resolved,5.5,1.0,agt-001
TKT-00378,2024-10-24,phone_transcript,account,just wanted to say the new dashboard is fantastic. so much easier to navigate.,14,positive,feedback,resolved,35.3,3.0,agt-019
TKT-00287,2024-03-29,social_media,billing,i have a negative experience regarding billing. this is a cancellation.,11,negative,cancellation,resolved,13.1,3.0,agt-038
TKT-01439,2024-11-06,email,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,pending,39.4,,agt-006
TKT-00731,2024-09-03,phone_transcript,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,resolved,52.3,2.0,agt-004
TKT-00127,2024-07-17,phone_transcript,account,i have a negative experience regarding account. this is a complaint.,11,negative,complaint,unresolved,29.7,2.0,agt-042
TKT-00328,2024-03-22,chat,billing,i have a positive experience regarding billing. this is a complaint.,11,positive,complaint,pending,35.5,,agt-040
TKT-00293,2024-10-17,social_media,billing,i have a negative experience regarding billing. this is a cancellation.,11,negative,cancellation,escalated,2.8,3.0,agt-015
TKT-00549,2024-08-18,phone_transcript,returns,i have a neutral experience regarding returns. this is a feedback.,11,neutral,feedback,resolved,69.6,1.0,agt-047
TKT-00728,2024-11-08,social_media,billing,you overcharged me by 49.99. i need this fixed now or i'm canceling.,13,negative,complaint,resolved,45.3,1.0,agt-025
TKT-00909,2024-03-04,phone_transcript,shipping,you shipped to the wrong address even though i updated it before the order was processed.,16,negative,complaint,pending,50.5,,agt-023
TKT-00356,2024-10-10,phone_transcript,account,i have a neutral experience regarding account. this is a feedback.,11,neutral,feedback,escalated,45.7,1.0,agt-023
TKT-00171,2024-10-25,email,returns,i have a negative experience regarding returns. this is a inquiry.,11,negative,inquiry,unresolved,22.5,4.0,agt-039
TKT-00967,2024-08-24,social_media,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,pending,58.2,,agt-004
TKT-01134,2024-04-09,social_media,returns,your return portal keeps giving me an error when i try to print the label.,15,negative,complaint,escalated,42.6,3.0,agt-049
TKT-00652,2024-09-08,phone_transcript,account,i have a neutral experience regarding account. this is a escalation request.,12,neutral,escalation_request,escalated,55.1,1.0,agt-029
TKT-00210,2024-01-09,social_media,account,i have a neutral experience regarding account. this is a inquiry.,11,neutral,,pending,1.0,,agt-034
TKT-01398,2024-07-01,phone_transcript,account,i love the new features in the latest update. keep up the great work!,14,positive,feedback,escalated,56.9,3.0,agt-047
TKT-00141,2024-12-08,social_media,returns,i have a positive experience regarding returns. this is a inquiry.,11,positive,inquiry,resolved,6.6,5.0,agt-033
TKT-01084,2024-03-24,social_media,billing,i have a neutral experience regarding billing. this is a feedback.,11,neutral,feedback,pending,37.1,,agt-045
TKT-00991,2024-07-13,chat,billing,i have a positive experience regarding billing. this is a feedback.,11,positive,feedback,pending,49.3,,agt-004
TKT-00651,2024-08-08,phone_transcript,billing,i have a negative experience regarding billing. this is a inquiry.,11,negative,inquiry,escalated,20.7,4.0,agt-017
TKT-01189,2024-12-10,chat,billing,i was charged twice for my subscription this month and i need a refund immediately. this is completely unacceptable.,19,negative,complaint,resolved,51.2,3.0,agt-023
TKT-01499,2024-05-30,chat,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,escalated,37.0,5.0,agt-004
TKT-00486,2024-02-16,chat,shipping,i have a neutral experience regarding shipping. this is a complaint.,11,neutral,complaint,escalated,18.4,3.0,agt-046
TKT-00528,2024-09-19,email,shipping,i have a negative experience regarding shipping. this is a cancellation.,11,negative,cancellation,resolved,65.3,3.0,agt-019
TKT-00200,2024-06-12,social_media,account,i have a neutral experience regarding account. this is a cancellation.,11,neutral,cancellation,escalated,50.3,2.0,agt-035
TKT-00890,2024-07-01,phone_transcript,returns,i have a positive experience regarding returns. this is a complaint.,11,positive,complaint,resolved,54.2,5.0,agt-026
TKT-00845,2024-09-07,phone_transcript,technical support,i have a negative experience regarding technical support. this is a cancellation.,12,negative,cancellation,resolved,39.8,4.0,agt-049
TKT-01069,2024-03-31,chat,billing,i have a positive experience regarding billing. this is a complaint.,11,positive,complaint,escalated,62.8,1.0,agt-004
TKT-01206,2024-10-18,phone_transcript,returns,what's the return process for international orders?,7,neutral,inquiry,resolved,57.6,2.0,agt-021
TKT-01055,2024-05-08,phone_transcript,technical support,i have a neutral experience regarding technical support. this is a feedback.,12,neutral,feedback,pending,34.3,,agt-048
TKT-00011,2024-08-20,phone_transcript,shipping,the item i received is completely different from what i ordered. this is frustrating.,14,negative,complaint,resolved,0.7,3.0,agt-033
TKT-00148,2024-01-22,social_media,returns,i have a negative experience regarding returns. this is a inquiry.,11,negative,inquiry,resolved,52.5,5.0,agt-041
TKT-00722,2024-08-06,social_media,account,i have a negative experience regarding account. this is a feedback.,11,negative,feedback,resolved,46.3,5.0,agt-028
TKT-00283,2024-09-12,chat,returns,your return portal keeps giving me an error when i try to print the label.,15,negative,complaint,pending,30.0,,agt-025
TKT-00299,2024-07-28,chat,returns,i have a positive experience regarding returns. this is a complaint.,11,positive,complaint,unresolved,50.3,5.0,agt-019
TKT-00614,2024-01-17,social_media,returns,i have a neutral experience regarding returns. this is a escalation request.,12,neutral,escalation_request,resolved,13.1,3.0,agt-011
TKT-00292,2024-10-28,phone_transcript,returns,i returned the item 10 days ago and the refund still hasn't hit my account.,15,negative,complaint,resolved,58.7,2.0,agt-047
TKT-00650,2024-03-08,phone_transcript,shipping,i have a positive experience regarding shipping. this is a inquiry.,11,positive,inquiry,escalated,6.9,5.0,agt-021
TKT-00599,2024-06-04,phone_transcript,shipping,i have a positive experience regarding shipping. this is a inquiry.,11,positive,inquiry,resolved,2.6,5.0,agt-010
TKT-01044,2024-02-09,phone_transcript,returns,it's been 3 weeks and i still haven't received my refund. this is ridiculous.,14,negative,complaint,escalated,5.8,3.0,agt-048
TKT-00553,2024-04-19,chat,returns,i have a neutral experience regarding returns. this is a cancellation.,11,neutral,cancellation,resolved,55.1,3.0,agt-010
TKT-01299,2024-01-23,email,returns,i have a negative experience regarding returns. this is a inquiry.,11,negative,inquiry,pending,47.4,,agt-046
TKT-00130,2024-06-07,phone_transcript,account,your support team was incredibly helpful setting up my account. thank you!,12,positive,feedback,resolved,13.4,2.0,agt-009
TKT-01062,2024-09-13,social_media,technical support,i have a negative experience regarding technical support. this is a inquiry.,12,negative,inquiry,resolved,54.8,1.0,agt-046
TKT-00332,2024-04-24,social_media,technical support,i have a negative experience regarding technical support. this is a cancellation.,12,negative,cancellation,resolved,52.5,1.0,agt-011
TKT-00324,2024-06-20,chat,returns,i have a positive experience regarding returns. this is a complaint.,11,positive,complaint,unresolved,47.3,2.0,agt-027
TKT-00681,2024-11-08,email,returns,i have a negative experience regarding returns. this is a feedback.,11,negative,feedback,escalated,56.4,5.0,agt-007
TKT-00479,2024-11-05,social_media,billing,i have a neutral experience regarding billing. this is a feedback.,11,neutral,feedback,resolved,34.0,3.0,agt-031
TKT-00562,2024-03-15,email,technical support,i have a positive experience regarding technical support. this is a inquiry.,12,positive,inquiry,escalated,16.0,4.0,agt-030
TKT-00136,2024-02-16,chat,technical support,i have a neutral experience regarding technical support. this is a cancellation.,12,neutral,cancellation,escalated,68.2,1.0,agt-002
TKT-00507,2024-06-08,phone_transcript,billing,i have a negative experience regarding billing. this is a feedback.,11,negative,feedback,resolved,46.2,1.0,agt-035
TKT-00514,2024-02-24,email,shipping,you shipped to the wrong address even though i updated it before the order was processed.,16,negative,complaint,resolved,23.8,3.0,agt-038
TKT-01372,2024-12-23,chat,technical support,i have a negative experience regarding technical support. this is a complaint.,12,negative,complaint,unresolved,39.3,2.0,agt-022
TKT-00436,2024-09-12,social_media,technical support,i have a positive experience regarding technical support. this is a complaint.,12,positive,complaint,resolved,71.9,4.0,agt-049
TKT-00874,2024-12-13,phone_transcript,account,i have a positive experience regarding account. this is a inquiry.,11,positive,inquiry,pending,30.9,,agt-040
TKT-01463,2024-01-16,email,billing,i have a positive experience regarding billing. this is a complaint.,11,positive,complaint,unresolved,42.4,3.0,agt-039
TKT-00753,2024-12-19,social_media,technical support,i have a neutral experience regarding technical support. this is a feedback.,12,,feedback,escalated,38.9,2.0,agt-009
TKT-00666,2024-12-04,email,shipping,i have a neutral experience regarding shipping. this is a complaint.,11,neutral,complaint,resolved,33.6,4.0,agt-027
TKT-00159,2024-11-15,chat,account,i have a positive experience regarding account. this is a inquiry.,11,positive,inquiry,resolved,52.0,4.0,agt-002
TKT-01254,2024-01-19,social_media,account,i have a positive experience regarding account. this is a inquiry.,11,positive,inquiry,resolved,50.2,3.0,agt-033
TKT-01293,2024-07-17,phone_transcript,shipping,i have a positive experience regarding shipping. this is a escalation request.,12,positive,escalation_request,resolved,52.0,4.0,agt-032
TKT-00576,2024-10-04,social_media,account,i have a negative experience regarding account. this is a complaint.,11,negative,complaint,unresolved,67.1,2.0,agt-002
TKT-00353,2024-01-03,chat,returns,i have a negative experience regarding returns. this is a cancellation.,11,negative,cancellation,unresolved,38.4,1.0,agt-031
TKT-00938,2024-10-02,phone_transcript,returns,i have a neutral experience regarding returns. this is a complaint.,11,neutral,complaint,escalated,71.3,5.0,agt-003
TKT-01296,2024-06-03,email,shipping,i have a neutral experience regarding shipping. this is a complaint.,11,neutral,complaint,escalated,10.6,2.0,agt-014
TKT-01393,2024-11-23,social_media,account,i have a negative experience regarding account. this is a inquiry.,11,negative,inquiry,resolved,56.8,4.0,agt-038
TKT-01301,2024-01-25,chat,returns,i have a negative experience regarding returns. this is a feedback.,11,negative,feedback,escalated,21.0,1.0,agt-035
TKT-00592,2024-07-04,email,billing,i have a positive experience regarding billing. this is a complaint.,11,positive,complaint,pending,42.0,,agt-041
TKT-00665,2024-07-30,email,billing,i have a negative experience regarding billing. this is a cancellation.,11,negative,cancellation,pending,7.3,,agt-017
TKT-00196,2024-12-04,email,shipping,i have a positive experience regarding shipping. this is a inquiry.,11,positive,,resolved,30.5,5.0,agt-014
TKT-01241,2024-04-21,social_media,shipping,i have a negative experience regarding shipping. this is a cancellation.,11,negative,cancellation,resolved,24.6,4.0,agt-028
TKT-01049,2024-02-12,social_media,billing,i see duplicate charges on my account. this is the second time this month.,14,negative,complaint,pending,10.6,,agt-049
TKT-00439,2024-06-08,social_media,account,i have a negative experience regarding account. this is a complaint.,11,negative,complaint,pending,67.4,,agt-048
